Slice,Count,Total Area,Average Size,%Area,Perim.
23h_A2_260623_Simple Segmentation,482,2920,6.058,1.881,8.382
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,38,282,7.421,1.342,9.410
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,1665,10081,6.055,2.766,8.482
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,1361,8698,6.391,2.574,8.813
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,464,2325,5.011,2.254,7.530
23h_A2_260623_Simple Segmentation,11,39,3.545,0.121,6.898
23h_A2_260623_Simple Segmentation,96,648,6.750,1.879,8.856
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,8,48,6.000,0.670,8.644
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
23h_A2_260623_Simple Segmentation,0,0,NaN,0.000,NaN
