Slice,Count,Total Area,Average Size,%Area,Perim.
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,55,218,3.964,0.602,6.795
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,15,49,3.267,0.525,5.641
22h_B1_300623_Simple Segmentation,21,124,5.905,1.433,8.353
22h_B1_300623_Simple Segmentation,190,768,4.042,1.041,6.766
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,34,159,4.676,1.203,7.637
22h_B1_300623_Simple Segmentation,55,227,4.127,1.041,7.014
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,1,1,1.000,0.004,2.828
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,11932,70033,5.869,6.929,8.688
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,183,1229,6.716,2.298,9.269
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,130,623,4.792,1.270,7.566
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,29,157,5.414,0.895,8.080
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,1,1,1.000,0.010,2.828
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,1170,5972,5.104,3.483,7.785
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,29,169,5.828,1.153,8.365
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,2386,14229,5.964,3.195,8.575
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,68,383,5.632,0.930,8.446
22h_B1_300623_Simple Segmentation,247,1410,5.709,1.464,8.540
22h_B1_300623_Simple Segmentation,14958,93327,6.239,7.002,9.122
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
22h_B1_300623_Simple Segmentation,31,134,4.323,1.196,6.678
22h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
