Slice,Count,Total Area,Average Size,%Area,Perim.
04h_B2_250623_Simple Segmentation,4,30,7.500,0.103,10.278
04h_B2_250623_Simple Segmentation,31,124,4.000,0.238,7.244
04h_B2_250623_Simple Segmentation,7,40,5.714,0.137,9.357
04h_B2_250623_Simple Segmentation,38,186,4.895,0.291,8.340
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,12,60,5.000,0.253,9.002
04h_B2_250623_Simple Segmentation,5,14,2.800,0.280,5.208
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,3,19,6.333,0.107,7.738
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,1286,7869,6.119,1.221,9.171
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,28,125,4.464,0.379,7.864
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,10,43,4.300,0.240,7.398
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,65,388,5.969,0.383,9.490
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,1136,6986,6.150,1.136,9.099
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,421,1974,4.689,0.599,7.441
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,1417,8676,6.123,1.227,9.127
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,22,136,6.182,0.157,9.355
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,3058,18462,6.037,1.771,8.883
04h_B2_250623_Simple Segmentation,15,81,5.400,0.321,9.448
04h_B2_250623_Simple Segmentation,289,1590,5.502,0.649,8.519
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,11,46,4.182,0.253,7.080
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,5,41,8.200,0.093,11.617
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,9,58,6.444,0.814,8.469
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,21,103,4.905,0.396,7.921
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,5,23,4.600,0.567,6.905
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,16,66,4.125,0.573,7.885
04h_B2_250623_Simple Segmentation,12,42,3.500,0.766,6.206
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,118,619,5.246,0.357,8.368
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,9,59,6.556,0.163,9.412
04h_B2_250623_Simple Segmentation,471,2561,5.437,0.742,8.563
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,21,85,4.048,0.493,6.969
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,14,61,4.357,0.532,7.399
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,8,60,7.500,0.924,11.089
04h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
04h_B2_250623_Simple Segmentation,6,31,5.167,0.403,8.404
