Slice,Count,Total Area,Average Size,%Area,Perim.
05h_C3_100423_Simple Segmentation,89,1038,11.663,0.248,13.691
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,16,126,7.875,0.655,10.248
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,258,2980,11.550,0.459,13.738
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,56,625,11.161,0.156,14.483
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,8,110,13.750,0.272,15.266
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,11,182,16.545,0.221,17.725
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,356,4320,12.135,0.589,14.293
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,10,144,14.400,0.091,16.207
05h_C3_100423_Simple Segmentation,59,541,9.169,0.210,11.425
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,1007,10244,10.173,0.676,12.574
05h_C3_100423_Simple Segmentation,14,89,6.357,0.119,9.660
05h_C3_100423_Simple Segmentation,274,2832,10.336,0.333,12.658
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,57,503,8.825,0.269,11.385
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,16,320,20.000,0.137,20.987
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,18,164,9.111,0.097,12.089
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,6,76,12.667,0.096,13.664
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,145,2211,15.248,0.285,16.634
05h_C3_100423_Simple Segmentation,31,358,11.548,0.493,13.470
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,9,137,15.222,0.243,16.701
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,17,279,16.412,0.417,18.513
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,64,786,12.281,0.203,14.687
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
05h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
