Slice,Count,Total Area,Average Size,%Area,Perim.
24h_C3_100423_Simple Segmentation,1617,9484,5.865,2.267,8.188
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,3578,21392,5.979,3.298,8.478
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,1460,8793,6.023,2.193,8.613
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,53,285,5.377,0.704,8.255
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,4,31,7.750,0.130,10.632
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,1,1,1.000,0.012,2.828
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,233,1171,5.026,1.420,7.539
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,3894,20350,5.226,2.775,7.804
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,105,734,6.990,0.466,9.398
24h_C3_100423_Simple Segmentation,1186,7366,6.211,2.866,8.535
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,3,28,9.333,0.094,10.290
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,3,22,7.333,0.028,9.071
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,13185,68257,5.177,4.504,7.734
24h_C3_100423_Simple Segmentation,204,1367,6.701,1.826,8.885
24h_C3_100423_Simple Segmentation,4720,28192,5.973,3.317,8.420
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,5,35,7.000,0.345,9.423
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,3,25,8.333,0.127,9.738
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,828,4742,5.727,2.540,8.191
24h_C3_100423_Simple Segmentation,2,15,7.500,0.137,9.071
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,1,10,10.000,0.197,11.314
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,648,3805,5.872,1.632,8.412
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,1,12,12.000,0.160,12.485
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,2,23,11.500,0.206,12.899
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,2,19,9.500,0.123,11.899
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
24h_C3_100423_Simple Segmentation,6,49,8.167,0.152,10.152
24h_C3_100423_Simple Segmentation,0,0,NaN,0.000,NaN
