 ,Area
1,16908.032
2,369.824
3,834.501
4,2288.86
5,655.142
6,8343.482
7,1351.667
8,1614.225
9,1580.575
10,2019.115
11,960.825
12,343.688
13,39695.792
14,1113.067
15,36801.993
16,8048.799
17,215.186
18,319.186
19,1072.556
20,11233.144
21,3497.432
22,3755.743
23,338.461
24,1025.076
25,794.534
26,1154.993
27,650.569
28,1002.86
29,540.797
30,493.753
31,582.833
32,449.757
33,780.051
34,416.107
35,263.429
36,855.083
37,1670.308
38,6472.58
39,3121.401
40,561.924
41,503.989
42,275.299
43,1486.921
44,1398.929
45,1148.459
46,268.765
47,438.431
48,610.711
49,235.442
50,3709.243
51,1337.292
52,297.297
53,1161.636
54,4451.179
55,24566.86
56,261.142
57,15508.994
58,130.898
59,783.753
60,1073.427
61,495.277
62,3358.585
63,1153.36
64,2610.66
65,375.378
66,549.183
67,699.029
68,1070.596
69,530.67
70,6248.682
71,553.648
72,885.684
73,809.127
74,270.508
75,2500.78
76,534.155
77,432.224
78,842.342
79,1248.321
80,43379.879
81,556.806
82,1764.725
83,400.97
84,6034.802
85,1982.851
86,271.161
87,13462.436
88,11400.088
89,657.212
90,672.131
91,273.121
92,575.428
93,226.076
94,420.463
95,857.37
96,2220.689
97,484.061
98,302.742
99,720.156
100,791.703
101,651.222
102,722.769
103,461.3
104,330.729
105,854.647
106,356.539
107,17127.683
108,16698.29
109,26955.69
110,708.83
111,211.266
112,837.877
113,448.45
114,1098.583
115,311.563
116,1193.544
117,539.817
118,724.512
119,475.675
120,623.344
121,15841.792
122,886.555
123,423.512
124,393.238
125,849.311
126,1855.438
127,1210.206
128,1130.818
129,402.059
130,260.271
131,664.943
132,2072.367
133,6406.696
134,339.877
135,671.369
136,181.21
137,708.83
138,2046.231
139,2745.151
140,700.88
141,670.933
142,394.218
143,6321.863
144,920.205
145,262.885
146,413.82
147,22942.616
148,356.539
149,84906.934
150,414.256
151,1176.011
152,363.399
153,68476.211
154,231.739
155,461.518
156,585.991
157,2164.061
158,938.065
159,1082.03
160,1219.571
161,258.311
162,811.958
163,526.532
164,3476.85
165,883.506
166,1116.878
167,230.868
168,5619.022
169,2116.472
170,7636.177
171,2300.839
172,296.97
173,563.666
174,720.482
175,592.198
176,399.336
177,1742.182
178,602.435
179,2983.207
180,574.121
181,385.288
182,267.676
183,1369.418
184,1346.222
185,371.676
186,828.293
187,470.993
188,4237.517
189,1386.842
190,185.13
191,400.534
192,414.256
193,140.808
194,619.859
195,1127.333
196,2356.378
197,227.383
198,523.047
199,3298.363
200,1056.33
201,384.635
202,3378.731
203,1093.465
204,442.352
205,883.179
206,65501.608
207,839.075
208,2729.579
209,1278.268
210,420.899
