 ,Area
1,1213.364
2,1358.092
3,1723.56
4,4081.028
5,1361.686
6,2834.231
7,6786.43
8,550.272
9,402.93
10,14321.548
11,98221.704
12,4474.81
13,532.848
14,600.692
15,50753.826
16,416.76
17,529.036
18,10385.467
19,420.79
20,487.763
21,687.704
22,456.727
23,4071.88
24,4080.483
25,512.701
26,3357.605
27,180905.337
28,116184.323
29,761.211
30,1120.472
31,1183.525
32,888.951
33,739.976
34,1624.244
35,1612.809
36,486.13
37,2287.662
38,883.615
39,1741.202
40,3875.642
41,2141.736
42,590.674
43,826.66
44,491.466
45,1489.425
46,508.454
47,5783.461
48,614.849
49,1556.726
50,4024.944
51,61896.365
52,1367.022
53,1493.346
54,1166.101
55,2642.567
56,456.4
57,422.423
58,1214.453
59,968.883
60,2918.084
61,679.427
62,3259.268
63,1023.333
64,598.841
65,422.532
66,1401.107
67,510.741
68,150089.141
69,1318.779
70,886.664
71,942.856
72,711.77
73,1862.19
74,709.701
75,3154.289
76,1068.309
77,552.45
78,43728.36
79,16176.769
80,14290.729
81,845.935
82,711.879
83,464.785
84,482.754
85,887.317
86,1863.17
87,7048.553
88,666.795
89,558.439
90,1214.453
91,2165.15
92,448.232
93,782.882
94,829.818
95,775.041
96,3741.368
97,2343.746
98,1457.3
99,2653.349
100,535.026
101,1040.104
102,5804.915
103,486.13
104,7678.975
105,816.423
106,4019.826
107,4411.866
108,485.803
109,540.906
110,603.959
111,684.654
112,1233.184
113,864.557
114,1485.723
115,749.777
116,523.373
117,2006.591
118,540.471
119,1051.538
120,681.714
121,2858.298
122,597.425
123,6749.513
124,3819.885
125,928.373
126,1343.173
127,454.549
128,463.696
129,1499.662
130,46736.832
131,1170.893
132,73894.205
133,616.047
134,3810.52
135,13045.131
136,5640.802
137,1863.17
138,1493.999
139,976.289
140,723.096
141,462.063
142,1667.586
143,817.077
144,1247.232
145,1322.917
146,566.716
147,1574.476
148,527.294
149,437.778
150,789.089
151,1624.461
152,424.601
153,6211.983
154,4568.464
155,1324.442
156,1575.456
157,771.23
158,51123.868
159,519.235
160,3624.083
161,690.317
162,2082.277
163,1782.257
164,414.256
165,30111.286
166,5924.051
167,706.543
168,685.526
169,633.254
170,49427.751
171,723.858
172,1518.284
173,1373.774
174,566.607
175,786.803
176,1050.014
177,598.079
178,1682.614
179,1177.318
180,442.134
181,39869.489
182,1640.579
183,867.171
184,1158.043
185,1032.372
186,36596.826
187,1509.136
188,443.768
189,2625.47
190,441.263
191,45109.648
192,529.69
193,1222.403
194,610.385
195,859.766
196,3943.814
197,545.262
198,527.947
199,7836.335
200,476.546
201,701.752
202,4599.283
203,717.107
204,786.258
205,1367.131
206,1159.676
207,440.283
208,654.053
209,632.927
210,118602.992
211,24363.435
212,133224.451
213,2111.571
214,1611.829
215,1769.298
216,447.797
217,888.297
218,645.341
219,841.906
220,4308.411
221,10604.138
222,2206.967
223,1079.852
224,1691.544
225,432.769
226,2271.654
227,2791.76
228,1763.091
229,110227.493
230,544.936
231,13959.456
232,839.619
233,556.915
234,4935.13
235,4858.791
236,737.144
237,16840.296
238,1183.09
239,2229.51
240,874.794
241,7835.9
242,2205.77
243,719.611
244,447.579
245,683.13
246,1262.151
247,1080.506
248,60909.84
249,859.548
250,1025.402
251,1404.919
252,539.6
253,18510.713
254,442.787
255,607.771
256,2425.203
257,976.071
258,688.357
259,1183.09
260,500.504
261,825.353
262,398917.587
263,1402.959
264,888.951
265,84047.606
266,767.636
267,1392.613
268,1012.988
269,470.775
270,917.374
271,493.099
272,912.691
273,639.352
274,2992.245
275,403.257
276,664.943
277,1455.122
278,550.054
279,4952.01
280,1408.295
281,924.343
282,628.135
283,6596.727
284,790.505
285,1703.741
286,1512.403
287,840.49
288,2111.571
289,23295.671
290,414.365
291,72901.582
292,1471.892
293,821.542
294,1348.291
295,2921.787
296,2161.121
297,1488.119
298,1280.555
299,604.286
300,462.498
301,7332.019
302,32203.364
303,3283.88
304,6096.549
305,2486.187
306,4205.936
307,1059.597
308,635.976
309,64815.648
310,3737.121
311,835.263
312,956.142
313,682.15
314,822.957
315,1939.618
316,5322.488
317,3337.349
318,1625.986
319,12562.378
320,632.818
321,2013.561
322,1479.407
323,423.948
324,656.994
325,666.686
326,133584.475
327,422.859
328,2121.481
329,719.611
330,1373.447
331,8886.458
332,33598.264
333,3717.846
334,4968.127
335,3560.703
336,2296.048
337,1155.32
338,671.151
339,4680.849
340,1002.969
341,1698.513
342,13803.184
343,1687.079
344,891.238
345,1607.909
346,892.98
347,1480.822
348,1170.348
349,1094.554
350,2851.329
351,2258.804
352,18907.436
353,460.865
354,1447.826
355,2854.051
356,3219.955
357,479.051
358,5723.022
359,1137.025
360,931.095
361,2118.541
362,1652.231
363,1000.682
364,173434.797
365,2121.808
366,443.005
367,1221.967
368,990.554
369,728.65
370,1286.436
371,481.991
372,1431.491
373,1276.526
374,9762.341
