 ,Area
1,45560.385
2,2038.281
3,2030.114
4,564.211
5,2096.434
6,441.807
7,1619.996
8,584.902
9,504.752
10,1420.601
11,1850.32
12,70636.571
13,709.157
14,7840.147
15,5098.48
16,806.949
17,1039.559
18,43671.95
19,1110.453
20,4731.705
21,2284.395
22,847.46
23,752.172
24,533.719
25,1424.194
26,733.442
27,550.925
28,997.851
29,750.212
30,475.131
31,611.909
32,2217.749
33,617.572
34,6250.969
35,4406.203
36,577.606
37,1778.119
38,2593.018
39,579.239
40,595.247
41,915.522
42,2020.204
43,1742.618
44,8979.567
45,1183.09
46,79855.5
47,2364.764
48,17139.118
49,27989.479
50,614.849
51,411.424
52,3241.735
53,3314.372
54,984.892
55,8534.275
56,25784.907
57,165030.33
58,8150.512
59,92545.618
60,1861.101
61,1103.702
62,679.863
63,426.67
64,640.985
65,1479.951
66,2135.529
67,868.26
68,20328.363
69,1191.584
70,1120.799
71,1833.332
72,1110.018
73,1969.457
74,3403.887
75,654.053
76,627.809
77,1328.362
78,553.648
79,1791.296
80,25389.818
81,1687.297
82,818.819
83,525.987
84,493.862
85,1257.468
86,4012.856
87,1214.78
88,2481.395
89,544.282
90,408.593
91,674.744
92,680.952
93,1679.456
94,1978.169
95,3505.6
96,883.179
97,1079.635
98,622.146
99,405.761
100,1146.173
101,18453.868
102,620.403
103,940.896
104,11268.428
105,1137.896
106,1474.288
107,8644.482
108,1032.699
109,550.49
110,708.83
111,2014.432
112,532.848
113,702.405
114,943.074
115,767.636
116,470.557
117,821.651
118,6785.668
119,767.309
120,1025.076
121,446.272
122,1285.673
123,84631.092
124,7907.447
125,428.304
126,1449.568
127,775.913
128,1451.419
129,771.665
130,5649.841
131,6128.565
132,3304.679
133,2920.589
134,660.914
135,1991.999
136,1098.801
137,2163.843
138,979.338
139,684.654
140,1202.474
141,7292.38
142,6236.703
143,2752.665
144,42130.362
145,709.375
146,472.19
147,440.283
148,1537.124
149,1503.147
150,693.475
151,415.345
152,874.14
153,1615.205
154,633.907
155,1923.501
156,493.317
157,419.592
158,3844.715
159,422.859
160,404.89
161,1072.774
162,3229.865
163,445.401
164,1700.038
165,1498.573
166,2242.469
167,2546.3
168,2356.16
169,160572.618
170,518.473
171,451.064
172,925.541
173,698.376
174,481.447
175,575.21
176,1903.354
177,3268.307
178,1466.121
179,1382.05
180,1569.249
181,610.82
182,716.998
183,785.169
184,50140.175
185,607.662
186,1353.954
187,874.14
188,17505.022
189,2807.006
190,1585.148
191,907.573
192,2286.9
193,1497.157
194,433.858
195,2537.043
196,1391.306
197,419.918
198,898.425
199,681.278
200,634.343
201,446.926
202,60606.227
203,1882.337
204,2983.969
205,739.867
206,2659.338
207,2200.216
208,954.182
209,426.888
210,19266.371
211,4115.984
212,1547.142
213,1121.452
214,1624.244
215,1300.266
216,97677.312
217,1163.27
218,498.98
219,580.655
220,7672.441
221,1153.469
222,9740.996
223,5924.596
224,733.442
225,515.75
226,1000.682
227,4087.017
228,765.24
229,7800.398
230,1146.173
231,1277.07
232,1019.195
233,689.119
234,819.581
235,934.144
236,986.09
237,526.858
238,145720.4
239,507.147
240,517.928
241,404.672
242,56732.436
243,770.468
244,1874.278
245,1020.502
246,3646.517
247,1087.475
248,1424.303
249,624.324
250,2581.257
251,20179.715
252,1792.494
253,3062.159
254,2040.786
255,995.564
256,802.484
257,12476.564
258,489.723
259,419.483
260,7980.954
261,1456.864
262,14529.438
263,551.252
264,3802.461
265,487.11
266,1490.732
267,3057.259
268,2106.453
269,864.666
270,2953.477
271,10742.659
272,85872.008
273,738.995
274,1469.279
275,2227.55
276,6821.605
277,4197.986
278,415.78
279,1203.563
280,556.37
281,1606.166
282,1248.103
283,1465.25
284,503.989
285,816.641
286,2376.851
287,1099.781
288,4768.84
289,614.849
290,435.273
291,927.61
292,995.019
293,871.636
294,1881.465
295,3521.608
296,424.383
297,2391.88
298,13668.039
299,1394.682
300,1533.421
301,964.963
302,609.84
303,402.277
304,5131.695
305,640.659
306,1907.71
307,79415.109
308,1858.161
309,118315.714
310,734.639
311,570.636
312,4192.977
313,6718.041
314,66657.691
315,546.678
316,1263.131
317,659.825
318,616.701
319,1832.46
320,5258.89
321,445.51
322,911.602
323,2400.374
324,1638.945
325,1496.939
326,2538.895
327,1879.505
328,666.686
329,1037.926
330,53446.814
331,2216.66
332,1879.832
333,706.761
334,1958.784
335,891.02
336,9590.605
337,4512.598
338,1180.912
339,4266.593
340,516.731
341,1865.13
342,444.203
343,683.13
344,1137.025
345,1334.025
346,6147.187
347,1224.907
348,7309.804
349,1770.17
350,3726.231
351,19064.034
352,1874.605
353,1636.985
354,466.854
355,500.831
356,2399.176
357,37755.74
358,3117.371
359,2844.468
360,2085.98
361,3860.396
362,1484.743
363,775.586
364,1483.98
365,887.644
366,204964.288
367,2351.804
368,1129.838
369,2567.753
370,2022.818
371,4439.962
372,910.295
373,1974.139
374,507.147
375,4819.696
376,2084.128
377,1987.97
378,3079.148
379,853.232
380,639.352
381,631.402
382,1131.144
383,942.965
384,1276.308
385,482.972
386,875.556
387,1467.21
388,1046.965
389,802.702
390,3937.824
391,1918.165
392,564.429
393,641.203
394,3072.178
395,2789.365
396,420.136
397,5453.712
398,3077.95
399,696.96
400,579.021
401,404.999
402,884.05
403,21814.74
404,8068.292
405,711.008
406,3858.109
407,52449.835
408,727.125
409,1543.875
410,1689.91
411,2090.771
412,776.348
413,92857.181
414,1009.612
415,775.913
416,2643.656
417,844.955
418,642.619
419,671.586
420,1170.348
421,2809.511
422,2069.318
423,1298.306
424,481.338
425,450.737
426,1335.876
427,1535.381
428,1763.418
429,2243.776
430,1085.842
431,2763.882
432,1400.018
433,566.389
434,1583.297
435,8318.98
436,1745.123
437,1178.189
438,620.839
439,435.709
440,476.546
441,1970.437
442,4467.405
443,876.101
444,817.295
445,1766.358
446,128752.364
447,603.306
448,2370.317
449,60029.493
450,776.893
451,7527.822
452,127345.702
453,484.714
454,1332.718
455,838.312
456,865.864
457,1518.611
458,412.84
459,795.297
460,454.44
461,2341.459
462,73709.402
463,734.748
464,7804.101
465,911.493
466,1312.463
467,6304.548
468,3008.363
469,3175.633
470,4016.014
471,4791.273
472,1053.608
473,854.429
474,910.731
475,2169.833
476,622.799
477,943.945
478,445.946
479,604.395
480,13852.843
481,790.396
482,990.446
483,2778.039
484,6337.653
485,428.739
486,853.232
487,1670.417
488,466.528
489,1626.857
490,2307.7
491,4878.829
492,1071.903
493,1062.646
494,3799.848
495,2438.816
496,523.809
497,445.292
498,1249.628
499,822.086
500,1737.173
501,1254.964
502,12069.278
503,9249.313
504,5999.846
505,1537.341
506,48678.737
507,2225.372
508,814.899
509,20171.983
510,1354.934
511,882.635
512,890.911
513,15305.133
514,14319.697
515,526.314
516,2859.17
517,554.083
518,761.973
519,1297.979
520,29973.854
521,1285.673
522,892.871
523,17584.301
524,1109.364
525,562.577
526,1848.578
527,521.522
528,3275.712
529,916.067
530,5512.518
531,600.475
532,604.831
533,12793.463
534,10207.197
535,7118.575
536,643.381
537,2386.108
538,749.777
539,768.29
540,4689.125
541,1036.401
542,2753.645
543,888.515
544,436.145
545,759.686
546,616.047
547,6207.845
548,864.884
549,599.059
550,5928.081
551,2668.268
552,2330.242
553,1980.347
554,892.109
555,1360.597
556,7621.476
557,717.542
558,1216.74
559,2076.614
560,1958.022
561,2161.556
562,2223.085
563,1565.111
564,1807.849
565,586.971
566,2346.468
567,96690.025
568,876.754
569,1893.009
570,1029.214
571,2782.504
572,7959.066
573,1422.996
574,1434.866
575,11650.34
576,441.59
577,461.409
578,1324.551
579,1049.905
580,899.95
581,811.85
582,758.271
583,559.746
584,458.251
585,147178.462
586,1570.12
587,619.532
588,565.191
589,523.373
590,4298.61
591,5009.182
592,411.86
593,2744.607
594,2232.123
595,5157.177
596,422.641
597,1001.553
598,1189.515
599,962.785
600,684.219
601,1722.689
602,607.989
603,5625.774
604,1674.338
605,998.94
606,1883.643
607,1658.874
608,43488.345
609,739.976
610,603.851
611,6291.262
612,11824.253
613,1627.728
614,747.707
615,595.792
616,1590.811
617,1516.215
618,1981.98
619,2227.223
620,1120.799
621,570.418
622,400.752
623,1100.108
624,723.532
625,912.691
626,6522.892
627,3708.481
628,806.731
629,1046.311
630,728.323
631,1372.031
632,519.453
633,1274.783
634,525.769
635,5216.637
636,3781.444
637,1411.344
638,2274.159
639,766.329
640,512.701
641,791.376
642,2180.94
643,218726.417
644,1683.485
645,2166.674
646,1508.81
647,1205.959
648,818.057
649,960.716
650,1450.221
651,444.639
652,750.43
653,440.501
654,889.713
655,2022.055
656,7477.728
657,2150.666
658,413.384
659,940.569
660,1630.015
661,3999.353
662,2086.96
663,7004.339
664,2786.315
665,1882.772
666,697.722
667,625.304
668,190891.249
669,1317.581
670,954.726
671,2464.843
672,2990.285
673,1166.319
674,597.861
675,4107.708
676,858.677
677,799.653
678,478.833
679,465.439
680,2525.391
681,425.037
682,568.24
683,462.172
684,674.091
685,3225.509
686,72947.973
687,1410.255
688,690.426
689,6315.22
690,1086.713
691,92886.148
692,507.038
693,1645.697
694,196242.922
695,5675.65
696,767.309
697,772.319
698,2751.032
699,7108.665
700,2764.644
701,34806.945
702,1548.994
703,2911.006
704,794.534
705,1948.439
706,457.38
707,6196.301
708,554.954
709,2956.199
710,565.736
711,494.624
712,2749.181
713,770.141
714,15618.112
715,6510.478
716,462.389
717,1602.572
718,1155.32
719,457.489
720,5028.131
721,2233.103
722,1703.741
723,1055.459
724,1587.326
725,6237.465
726,663.963
727,930.333
728,1794.019
729,2431.193
730,511.939
731,2079.337
732,639.788
733,1234.273
734,827.313
735,799.653
736,1459.913
737,4335.309
738,944.054
739,2854.269
740,919.552
741,6555.562
742,967.794
743,541.995
744,1277.506
745,794.97
746,462.281
747,423.294
748,3308.382
749,1165.448
750,1473.199
751,636.847
752,649.697
753,2878.989
754,1974.139
755,1250.717
756,1756.121
757,16391.302
758,469.25
759,1708.968
760,765.023
761,700.009
762,1322.155
763,21130.739
764,982.387
765,3136.32
766,689.01
767,3945.338
768,1939.291
769,651.44
770,756.528
771,914.978
772,225987.76
773,549.836
774,474.586
775,859.221
776,1512.839
777,6013.24
778,1735.648
779,279266.324
780,2538.241
781,6482.926
782,538.402
783,5520.577
784,1435.955
785,3667.099
786,15674.957
787,596.99
788,447.906
789,931.531
790,1225.67
791,1664.319
792,591.436
793,3006.076
794,1094.445
795,1818.412
796,775.586
797,1707.552
798,1137.352
799,1327.382
800,3747.031
801,919.007
802,404.019
803,816.75
804,514.553
805,888.297
806,71776.536
807,498.109
808,1251.043
809,2416.382
810,545.371
811,2693.859
812,42899.196
813,995.564
814,15296.857
815,435.382
816,2028.154
817,26023.18
818,830.363
819,2643.983
820,26991.519
821,405.979
822,631.184
823,675.507
824,736.055
825,528.818
826,660.914
827,6958.383
828,484.061
829,1051.538
830,1428.006
831,1811.443
832,656.014
833,1947.894
834,671.151
835,857.37
836,1528.303
837,9599.644
838,5986.887
839,1265.636
840,1739.569
841,7300.221
842,487.872
843,6984.193
844,1928.183
845,1784.871
846,1734.341
847,5946.267
848,1199.751
849,818.819
850,10490.882
851,1938.638
852,1425.828
853,895.267
854,3050.942
855,919.334
856,4536.447
857,631.729
858,2753.319
859,2793.612
860,971.497
861,1613.027
862,1121.234
863,5715.399
864,2248.458
865,753.588
866,1840.192
867,676.922
868,29819.761
869,1060.25
870,1953.23
871,1075.17
872,1275.437
873,1171.764
874,172466.785
875,2030.223
876,13245.616
877,1314.641
878,1497.375
879,1913.046
880,8551.155
881,634.996
882,1097.712
883,183018.868
884,577.388
885,3309.907
886,442.243
887,610.385
888,671.913
889,4839.952
890,2322.401
891,1114.047
892,4380.829
893,759.904
894,1840.192
895,5137.902
896,425.472
897,1738.48
898,2255.319
899,5770.067
900,6421.506
901,764.805
902,683.892
903,490.703
904,923.799
905,2517.006
906,824.373
907,1746.865
908,1430.619
909,2554.032
910,473.715
911,739.322
912,72126.867
913,982.714
914,953.311
915,201419.375
916,6400.598
917,658.627
918,1063.953
919,995.237
920,2703.443
921,3501.571
922,21328.283
923,1730.312
924,693.802
925,3499.828
926,400.752
927,2250.636
928,850.727
929,1208.137
930,566.498
931,891.673
932,825.462
933,2788.602
934,493.97
935,1697.315
936,469.359
937,2194.008
938,672.784
939,3964.178
940,5319.221
941,5419.3
942,28982.864
943,81208.038
944,946.014
945,900.93
946,722.552
947,673.438
948,1261.607
949,2154.913
950,1581.881
951,1219.68
952,948.192
953,713.948
954,593.396
955,481.229
956,521.74
957,451.499
958,2335.469
959,455.638
960,451.608
961,402.712
962,1579.812
963,1008.741
964,9690.793
965,434.511
966,4996.223
967,1871.991
968,6596.291
969,1423.432
970,1405.028
971,1181.565
972,452.588
973,4103.243
974,2135.638
975,1099.128
976,1019.849
977,3075.881
978,1042.609
979,8212.911
980,461.192
981,563.231
982,4736.388
983,3492.423
984,800.742
985,2465.714
986,1437.48
987,1565.438
988,1283.822
989,728.214
990,513.246
991,565.3
992,478.071
993,800.96
994,1267.814
995,2686.89
996,1019.957
997,472.19
998,2526.589
999,887.208
1000,3184.454
1001,806.513
1002,419.265
1003,427.65
1004,5852.722
1005,1602.355
1006,4065.564
1007,9608.138
1008,1385.97
1009,1265.309
1010,1189.841
1011,1416.571
1012,3453.11
1013,1366.151
1014,824.482
1015,18698.784
1016,2549.567
1017,535.026
1018,679.863
1019,811.958
1020,1473.199
1021,2208.056
1022,460.429
1023,1469.061
1024,777.764
1025,2030.223
1026,657.212
1027,7972.025
1028,1369.091
1029,2154.042
1030,5834.1
1031,376208.888
1032,591.763
1033,2696.473
1034,1061.013
1035,861.944
1036,1307.018
1037,1251.588
1038,1838.668
1039,2643.656
1040,1711.799
1041,996.217
1042,69533.305
1043,1249.845
1044,692.604
1045,997.415
1046,700.88
1047,717.542
1048,1809.7
1049,1583.515
1050,1706.681
1051,1852.28
1052,534.046
1053,503.663
1054,830.907
1055,1724.214
1056,1050.776
1057,464.785
1058,561.053
1059,2240.944
1060,1039.777
1061,13633.736
1062,953.528
1063,665.815
1064,9305.396
1065,1465.141
1066,1457.627
1067,863.904
1068,2555.556
1069,794.534
1070,2436.093
1071,2243.122
1072,3649.892
1073,890.04
1074,1649.508
1075,1181.238
1076,572.052
1077,1534.946
1078,2002.998
1079,1879.723
1080,461.192
1081,30397.258
1082,552.45
1083,532.412
1084,1462.309
1085,698.485
1086,575.754
1087,490.703
1088,500.94
1089,3237.924
1090,3293.898
1091,812.939
1092,671.695
1093,5346.119
1094,1012.443
1095,4622.805
1096,665.706
1097,48979.627
1098,96519.923
1099,423.839
1100,6029.358
1101,8311.248
1102,1039.559
1103,1035.857
1104,1617.165
1105,706.761
1106,3005.204
1107,617.681
1108,955.924
1109,1614.878
1110,807.276
1111,1639.925
1112,2508.294
1113,735.837
1114,2575.485
1115,1494.544
1116,771.121
1117,1646.35
1118,3415.649
1119,2405.383
1120,10729.155
1121,7579.876
1122,5265.206
1123,1706.79
1124,1658.003
1125,2423.352
1126,596.228
1127,429.284
1128,702.405
1129,1509.572
1130,572.596
1131,449.866
1132,2743.3
1133,1713.215
1134,520.542
1135,644.144
1136,662.983
1137,1570.774
1138,866.844
1139,1584.168
1140,5602.905
1141,470.775
1142,645.777
1143,2876.049
1144,19775.042
1145,1285.891
1146,1552.587
1147,1365.715
1148,461.409
1149,645.015
1150,476.546
1151,3786.235
1152,77485.727
1153,1098.583
1154,6151.434
1155,432.986
1156,1604.206
1157,2126.926
1158,1713.65
1159,579.13
1160,2305.413
1161,3330.924
1162,237669.79
1163,836.243
1164,51224.383
1165,2726.312
1166,953.964
1167,98756.511
1168,849.529
1169,785.714
1170,1897.038
1171,865.537
1172,1133.322
1173,2371.515
1174,2021.946
1175,996.326
1176,415.998
1177,619.859
1178,722.878
1179,5261.177
1180,532.412
1181,13140.201
1182,1685.01
1183,15163.127
1184,534.917
1185,413.82
1186,2853.507
1187,422.096
1188,2883.236
1189,848.876
1190,1364.626
1191,756.528
1192,663.528
1193,557.132
1194,1335.767
1195,2754.517
1196,593.723
1197,117260.909
1198,561.271
1199,600.801
1200,668.755
1201,2659.12
1202,560.835
1203,769.052
1204,1286.327
1205,1414.829
1206,10259.36
1207,807.276
1208,854.538
1209,551.579
1210,2032.292
1211,684.437
1212,963.983
1213,1065.151
1214,443.114
1215,2049.498
1216,994.039
1217,972.804
1218,1779.753
1219,8241.443
1220,3586.295
1221,472.626
1222,647.302
1223,2975.693
1224,2122.57
1225,4020.915
1226,4077.216
1227,1184.505
1228,2183.663
1229,1574.476
1230,1002.098
1231,1938.965
1232,2245.627
1233,999.158
1234,904.523
1235,1869.595
1236,546.025
1237,881.001
1238,738.669
1239,1319.432
1240,612.671
1241,676.051
1242,1980.347
1243,778.417
1244,435.382
1245,594.812
1246,438.649
1247,885.139
1248,463.478
1249,536.986
1250,843.431
1251,1280.555
1252,865.864
1253,2890.751
1254,932.511
1255,1898.127
1256,840.599
1257,435.273
1258,1197.791
1259,1109.582
1260,495.495
1261,1285.129
1262,2084.346
1263,1171.982
1264,14123.35
1265,715.364
1266,2977.108
1267,5253.118
1268,1707.77
1269,1387.059
1270,1197.9
1271,1372.467
1272,2255.21
1273,3612.649
1274,628.244
1275,452.044
1276,210996.477
1277,9553.253
1278,785.387
1279,9251.164
1280,2189.326
1281,525.987
1282,4587.521
1283,4223.033
1284,1073.101
1285,65925.774
1286,532.957
1287,870.22
1288,596.99
1289,540.144
1290,1697.751
1291,787.892
1292,1276.417
1293,1889.415
1294,432.224
1295,695.871
1296,639.461
1297,1161.745
1298,627.482
1299,686.07
1300,549.727
1301,4502.035
1302,4602.55
1303,874.467
1304,578.695
1305,1178.298
1306,1217.72
1307,400.099
1308,1406.988
1309,424.057
1310,817.621
1311,1832.025
1312,999.593
1313,492.446
1314,1247.885
1315,1428.115
1316,686.07
1317,6706.062
1318,230258.165
1319,887.971
1320,5558.474
1321,743.351
1322,551.47
1323,4021.241
1324,12493.117
1325,612.018
1326,505.623
1327,3089.602
1328,1859.25
1329,2075.307
1330,489.07
1331,485.15
1332,1463.398
1333,1673.793
1334,609.404
1335,2363.457
1336,758.815
1337,461.518
1338,640.768
1339,1292.752
1340,1635.896
1341,1561.299
1342,1118.948
1343,1907.601
1344,80797.594
1345,5463.949
1346,343955.43
1347,490.921
1348,2373.693
1349,754.568
1350,2517.659
1351,912.8
1352,596.445
1353,6526.704
1354,2186.385
1355,10252.609
1356,2673.386
1357,11925.313
1358,32381.416
1359,1189.079
1360,1157.498
1361,1257.686
1362,1121.017
1363,1939.291
1364,773.081
1365,693.149
1366,2106.671
1367,587.733
1368,946.014
1369,1931.015
1370,2721.738
1371,781.14
1372,3113.669
1373,963.329
1374,4206.916
1375,1135.065
1376,905.939
1377,557.132
1378,6971.996
1379,2168.417
1380,1242.222
1381,446.381
1382,1172.635
1383,1285.673
1384,576.734
1385,1055.894
1386,5710.498
1387,1358.419
1388,757.073
1389,700.009
1390,2378.267
1391,1256.053
1392,3386.028
1393,5082.254
1394,3323.628
1395,541.669
1396,718.849
1397,490.377
1398,1106.424
1399,1237.866
1400,5287.531
1401,427.433
1402,1452.29
1403,1844.984
1404,958.32
1405,1436.282
1406,544.064
1407,628.789
1408,730.828
1409,2626.559
1410,1028.669
1411,814.899
1412,5750.356
1413,2005.72
1414,626.284
1415,1067.765
1416,1936.242
1417,3596.967
1418,5015.281
1419,1755.359
1420,579.239
1421,15903.539
1422,28785.102
1423,129536.008
1424,628.353
1425,13438.478
1426,2971.881
1427,4343.15
1428,976.506
1429,1344.153
1430,7097.231
1431,562.142
1432,675.616
1433,1666.279
1434,856.172
1435,7395.072
1436,466.31
1437,14873.562
1438,1980.238
1439,17429.99
1440,1844.875
1441,512.483
1442,1697.315
1443,876.863
1444,958.102
1445,513.246
1446,3072.94
1447,507.692
1448,415.345
1449,946.777
1450,1922.738
1451,1693.94
1452,1096.732
1453,8247.542
1454,1415.918
1455,673.438
1456,603.959
1457,1329.996
1458,1542.024
1459,25057.564
1460,756.093
1461,559.093
1462,30460.964
1463,1240.371
1464,106865.532
1465,1785.307
1466,3892.522
1467,2713.57
1468,913.562
1469,5305.717
1470,786.585
1471,1919.798
1472,2954.566
1473,2028.154
1474,445.183
1475,18214.941
1476,5844.445
1477,2041.548
1478,1511.205
1479,658.736
1480,1482.238
1481,5006.895
1482,2047.102
1483,2513.085
1484,1776.812
1485,3631.271
1486,2595.196
1487,520.651
1488,315033.985
1489,1599.959
1490,455.093
1491,560.291
1492,1505.76
1493,757.073
1494,1520.571
1495,728.105
1496,667.775
1497,684.328
1498,594.812
1499,1845.855
1500,859.221
1501,1962.051
1502,1980.238
1503,507.692
1504,8635.335
1505,3353.576
1506,2293.761
1507,776.457
1508,665.924
1509,11673.427
1510,562.251
1511,577.497
1512,770.685
1513,536.224
1514,2652.695
1515,715.582
1516,553.212
1517,5247.347
1518,699.465
1519,2354.527
1520,1030.303
1521,878.932
1522,4728.874
1523,404.346
1524,647.302
1525,612.345
1526,543.52
1527,87301.647
1528,4346.09
1529,569.874
1530,523.7
1531,748.905
1532,521.087
1533,575.645
1534,799.762
1535,1064.28
1536,1149.004
1537,3869.87
1538,1661.923
1539,1033.57
1540,443.332
1541,926.848
1542,31285.555
1543,2211.65
1544,654.816
1545,7846.899
1546,555.826
1547,2092.187
1548,663.092
1549,1552.696
